mpid,category,
mp-29946,1D,
mp-27742,1D,
mp-8187,1D,
mp-568896,1D,
mp-756448,1D,
mp-866214,1D,
mp-865324,1D,
mp-757220,1D,
mp-865521,1D,
mp-754005,1D,
mp-768315,1D,
mp-556078,1D,
mp-555121,1D,
mp-24337,1D,
mp-24460,1D,
mp-29483,1D,
mp-554819,1D,
mp-771047,1D,
mp-10412,1D,
mp-765941,1D,
mp-17867,1D,
mp-765253,1D,
mp-566172,1D,
mp-25047,1D,
mp-540676,1D,
mp-25540,1D,
mp-772662,1D,
mp-744256,1D,
mp-25770,1D,
mp-566645,1D,
mp-28912,1D,
mp-569522,1D,
mp-683891,1D,
mp-638590,1D,
mp-626577,1D,
mp-653062,1D,
mp-542135,1D,
mp-680309,1D,
mp-680300,1D,
mp-640341,1D,
mp-23312,1D,
mp-25062,1D,
mp-684560,1D,
mp-743614,1D,
mp-864733,1D,
mp-504575,1D,
mp-11508,1D,
mp-567661,1D,
mp-745159,1D,
mp-27866,1D,
mp-754514,1D,
mp-559817,1D,
mp-556538,1D,
mp-568616,1D,
mp-541093,1D,
mp-758829,1D,
mp-541106,1D,
mp-567731,1D,
mp-571061,1D,
mp-540615,1D,
mp-558408,1D,
mp-654051,1D,
